الاسم,التقييم,عدد التقييمات,العنوان,عنوان البحث,التصنيف,الحيّ,خط_العرض,خط_الطول
حديقة الملقا الثانية - حديقة الإحسان,4.2,"3,661",QJWF+487، الملقا، الرياض 13521، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.9294621,46.908535099999995
حديقة حي الربيع الشرقي,4.2,659,3870 المحامل، الربيع، 7926، الرياض 13316، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.9294621,46.908535099999995
منتزه الملك عبدالله,4.3,"40,048",شارع الأمين عبدالله العلي النعيم، الملز، الرياض 12836، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.9294621,46.908535099999995
وندر جاردن,4.3,"5,414",RRMA7999 3507 رقم 139، القيروان، 7999، الرياض 13526، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مدينة ملاهي,النرجس,24.8910359,46.705039299999996
تنسيق حدائق ومشتل زراعي ابو أيه,3,2,مخرج 6، طريق ابي بكر الصديق، النرجس، الرياض 12211، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.8910359,46.705039299999996
بوليفارد وورلد,4.6,"29,074",7199 Al Hawiy، Al Aqiq، 2662، الرياض 13516، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مزار سياحي,النرجس,24.8910359,46.705039299999996
الرياض روف,4.2,363,بن عبد العزيز، حي النرجس،، طريق الملك سلمان، الرياض 13328، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,الساحة العامة,النرجس,24.855981999999997,46.6746327
شاليهات واحة النرجس,٤٫٢,76,"RAJC3930، 3930 أحمد الثعلبي، 7554، حي النرجس، الرياض 13336، الرياض,النرجس,شمال طريق الملك سلمان 00000، المملكة العربية السعودية",  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.9050777,46.696279999999994
حديقة الشهداء,٤٫٢,"8,639",محمد علي جناح، غرناطة، الرياض 13241، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.9050777,46.696279999999994
zeezo world زيزو ورلد النرجس,٤٫٠,829,أنس بن مالك مبنى رقم 3737 الرقم الإضافي 8766، الرياض 13323، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مركز ترفيهي للأطفال,النرجس,24.9050777,46.696279999999994
حديقة المروج,٤٫٠,"1,720",4053 محمد ابي حمزة، 7338، المروج، الرياض 12282، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.8690118,46.7622861
حدائق سابك,٣٫٩,120,6575 طريق المطار الفرعي، 2871، قرطبة، الرياض 13244، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.9189755,46.9086174
حديقة الحيوانات,٤٫٢,"44,545",الملز، الرياض 12832، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مزار سياحي,النرجس,24.9189755,46.9086174
مشتل نواف ( غرس نجد ),٤٫٣,"1,320",طريق التخصصي، الربيع، الرياض 13315، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.8912969,46.7534943
جلسات تالين,٤٫٤,14,العارض، 6813، 4021، الرياض 13332، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.8912969,46.7534943
مشتل نباتات,٣٫٩,194,التعاون، الرياض 13322، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.8912969,46.7534943
مشتل أبوأحمد للزراعه,٤٫٣,3,حي، طريق ابي بكر الصديق، الياسمين، الرياض 13322، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.893627400000003,46.7155528
مطل التعاون,٤٫٥,426,"7668 الغاط، التعاون، 2600, الرياض 12477، المملكة العربية السعودية",  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.893627400000003,46.7155528
جلسات ابو باسل,٤٫٨,17,العارض، 3785، 6912، الرياض 13332، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.893627400000003,46.7155528
ليفز,٣٫٨,25,7720 طريق الملك عبدالعزيز الفرعي، الصحافة، الرياض 13321، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.893627400000003,46.7155528
شركة الزهار لتنسيق الحدائق,٥٫٠,تعليق واحد,الياسمين، الرياض 13326، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.893627400000003,46.7155528
مشتل ابومكه,٢٫٥,تعليقان (2),حي، الياسمين، الرياض 13322، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.893627400000003,46.7155528
جلسات طلال,٥٫٠,تعليقان (2),RJQP+4W3، طريق الملك سلمان بن عبدالعزيز، العارض، الرياض 13332، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.893627400000003,46.7155528
مشتل شجر,٥٫٠,4,طريق الامام سعود، الربيع، الرياض 12112، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,مشتل,النرجس,24.893627400000003,46.7155528
Sadiq,٥٫٠,تعليقان (2),طريق الثمامة، الربيع، الرياض 13315، المملكة العربية السعودية,  النرجس  ف  الرياض  ف  السعودية,حديقة,النرجس,24.893627400000003,46.7155528
"Fountain Park, Al Bustan Village",,0,"8171 3 شارع كاسيا, حي العارض, RRDA3171، 3171, الرياض 13332، المملكة العربية السعودية",  النرجس  ف  الرياض  ف  السعودية,متنزه,النرجس,24.893627400000003,46.7155528
برحة حي النسيم الشرقي,3.1,425,8573 ابن خلكان، النسيم الشرقي، الرياض 14243، المملكة العربية السعودية,  النسيم  ف  الرياض  ف  السعودية,متنزه,النسيم,24.754296999999998,46.8541099
ملعب النسيم الأول,4,132,7490 يزيد بن عبدالله،، 7490، 2361، الرياض 14231، المملكة العربية السعودية,  النسيم  ف  الرياض  ف  السعودية,متنزه,النسيم,24.754296999999998,46.8541099
ملاعب وحديقة النسيم,3.5,328,Aktham Ibn Sayfi اكثم بن صيفي، 8082، النسيم الغربي، الرياض 14233، المملكة العربية السعودية,  النسيم  ف  الرياض  ف  السعودية,متنزه المدينة,النسيم,24.754296999999998,46.8541099
حديقة الحيوانات,4.2,"44,545",الملز، الرياض 12832، المملكة العربية السعودية,  النسيم  ف  الرياض  ف  السعودية,حديقة حيوان,النسيم,24.754296999999998,46.8541099
امباير سينما | العثيم مول,٣٫٦,425,"QR2C+FQ Inside Al Othaim Mall, النسيم الشرقي، الرياض 14241، المملكة العربية السعودية",  النسيم  ف  الرياض  ف  السعودية,صالة سينما,النسيم,24.7599163,46.864775699999996
حديقة الروضة العامة,4.2,"1,441",برج خزان الروضة القديم، سيبويه، الروضة، الرياض 13211، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,متنزه,الروضة,24.735768399999998,46.7767756
حديقة الوفاء,4,"1,788",PQP4+253، الروضة، الرياض 13213، المملكة العربية السعودية,  الروضة  ف  الرياض  ف  السعودية,متنزه,الروضة,24.735768399999998,46.7767756
حديقة الوادي,4,"3,055",7001 سلطانه، شارع سلطانة، الرياض 12772، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,متنزه,السويدي,24.6724902,46.7445132
حديقة آل فريان,3.8,"8,435",HJ9M+2X5، السويدي الغربي، الرياض 12994، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,متنزه,السويدي,24.6724902,46.7445132
حديقة كعب بن زهير,4,175,5187 دار الندوة، السويدي، الرياض 12785 7925 دار الندوة، 7925، السويدي، الرياض 12785، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,متنزه,السويدي,24.6724902,46.7445132
حديقة اليمامة,٣٫٧,"1,095",HPQ7+98Q، اليمامة، الرياض 12675، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,متنزه,السويدي,24.699390299999997,46.791602399999995
سفوري لاند,٤٫٠,"2,519",السويدي العام، السويدي، الرياض 12791، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,مدينة الملاهي,السويدي,24.699390299999997,46.791602399999995
ڤوكس سينما,٤٫٣,"4,653",السويدي العام، السويدي، الرياض 12791، المملكة العربية السعودية,  السويدي  ف  الرياض  ف  السعودية,صالة سينما,السويدي,24.794752199999998,46.785619499999996
منتزه الشفا بارك الترفيهي,4,"1,412",طريق الشفاء الدائري، الشفا 26764، المملكة العربية السعودية,  الشفاء  ف  الرياض  ف  السعودية,مدينة ملاهي,الشفا,24.9512417,47.1634345
حديقة المروة ا لأولى,3.8,434,الحمداني، 2673 الحمداني، المروة، الرياض 14722 7418، الرياض 14722، المملكة العربية السعودية,  الشفاء  ف  الرياض  ف  السعودية,متنزه,الشفا,24.7178246,46.7072429
ساحة العزيزية الثانية,4,663,4653 عبدالرحمن القاضي، العزيزية الرياض 14514 8204 عبدالرحمن القاضي، 8204، العزيزية، الرياض 14514، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,24.7529145,46.905663999999994
حديقة الربيع,3.7,1102 من ال,7822 طريق العزيزية، العزيزية، الرياض 14514 5697 طريق العزيزية الفرعي، 5697، العزيزية، الرياض 14514، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,24.7529145,46.905663999999994
حديقة الهضبة,4.1,156,العزيزية، الرياض 14513، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,حديقة,العزيزية,24.7529145,46.905663999999994
حديقة الوطن,4.2,"11,138",طريق الملك فيصل، الفوطة، الرياض 12632، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,مدينة ملاهي,العزيزية,24.7529145,46.905663999999994
العزيزيه بلازا,4.1,640,7526 ابن ابي الطاهر، الدار البيضاء، 14517 2382 المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,الساحة العامة,العزيزية,24.79411,46.7985646
ساحة حي الدار البيضاء,٤٫٠,501 من ال,7542 عبدالقادر الجزائري، الدار البيضاء، 2426، الرياض 14518، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,حديقة,العزيزية,24.697207799999997,46.902293
حديقة بدر الثانية,٤٫٠,364,السهري، 3750 السهري، بدر، الرياض 14716 6493، الرياض 14716، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,24.743250399999997,46.8159206
بحيرة منتزه سلام,٤٫٥,175,"Salam park entrance, 7454، سلام، 2209, الرياض 12651، المملكة العربية السعودية",  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,24.811002499999997,46.809980599999996
حديقة الافراح,٣٫٧,14,3886، 6559 طريق الخرج، الخالدية، الرياض 12875 3886، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,24.811002499999997,46.809980599999996
شركة تقنيات الزراعة الحديثة,٤٫٢,190,"المناخ , شارع ستارة، بالقرب من حديقة مناخ الملك عبدالعزيز، الرياض المملكة العربية السعودية",  العزيزيه  ف  الرياض  ف  السعودية,مورّد أجهزة الزراعة بالماء,العزيزية,25.062765600000002,47.257503899999996
حديقه العزيزيه,٣٫٧,353,3561 المعرفة، المرسلات، مكة 24243، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,متنزه,العزيزية,25.062765600000002,47.257503899999996
Isteraha safwah,٤٫٢,104,JRF3+77G، المناخ، الرياض 14312، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,حديقة مجتمعية,العزيزية,25.062765600000002,47.257503899999996
مركز النقل العام - سابتكو,٣٫٩,"17,594",الطريق الدائري الجنوبي الفرعي، العزيزية، الرياض 14512، المملكة العربية السعودية,  العزيزيه  ف  الرياض  ف  السعودية,خدمة وسائل النقل,العزيزية,24.736230900000002,46.8020515
حديقة السالم,4.1,"1,769",PM4C+33J، 7911 ابن الاثير، 3616، العليا، الرياض 12333، المملكة العربية السعودية,  العليا  ف  الرياض  ف  السعودية,متنزه,العليا,24.706575599999997,46.6833014
قو بولينج,٤٫٥,635,Makan Mall، طريق الأمير محمد بن سعد بن عبدالعزيز، الملقا، الرياض 13521، المملكة العربية السعودية,  الملقا  ف  الرياض  ف  السعودية,صالة بولينغ,الملقا,24.815996,46.7940757
